Tanzania	B-LOC
fi	O
Ajìjàgbara	O
Ọmọ	O
Orílẹ̀-èdèe	O
Uganda	B-LOC
sí	O
àtìmọ́lé	O
wọ́n	O
sì	O
lé	O
e	O
kúrò	O
nílùú	O
.	O
	
Wairagala	B-PER
Wakabi	I-PER
,	O
àgbà	O
ọ̀jẹ̀	O
ajàfẹ́tọ̀ọ́	O
ẹ̀rọ	O
ayárabíàṣá	O
tí	O
ó	O
wá	O
láti	O
Uganda	B-LOC
,	O
di	O
ẹni	O
àtìmọ́lé	O
ní	O
Pápákọ̀	O
òfuurufú	O
Julius	B-LOC
Nyerere	I-LOC
International	I-LOC
Airport	I-LOC
ní	O
Dar	B-LOC
es	I-LOC
Salaam	I-LOC
,	O
Tanzania	B-LOC
lọ́jọ́	B-DATE
25	I-DATE
oṣù	I-DATE
Igbe	I-DATE
.	O
	
A	O
fi	O
ìwé	O
pe	O
Wakabi	B-PER
kí	O
ó	O
wá	O
á	O
sọ̀rọ̀	O
níbi	O
ètò	O
Àyájọ́	O
Àwọn	O
Olùgbèjà	O
Ẹ̀tọ́	O
Ọmọnìyàn	O
ní	O
Tanzania	B-LOC
ọlọ́dọọdún	O
tí	O
Àgbáríjọ	O
Olùgbèjà	O
Ẹ̀tọ́	O
Ọmọnìyàn	O
ti	O
Tanzania	B-LOC
(	O
THRDC	B-ORG
)	O
jẹ́	O
olùgbàlejò	O
.	O
	
Wakabi	B-PER
ni	O
Olùdarí	O
Àgbà	O
Ìfọwọ́sowọ́pọ̀	O
Ètò-ìmúlò	O
Ìmọ̀-ẹ̀rọ	O
Gbogboògbò	O
fún	O
Ìlà-Oòrùn	O
àti	O
Gúúsù	O
Ilẹ̀	O
Adúláwò	O
(	O
CIPESA	B-ORG
)	O
,	O
ọ̀kan	O
gbòógì	O
nínú	O
ilé-iṣẹ́	O
tí	O
ó	O
ń	O
ṣe	O
ètò	O
tí	O
ó	O
dá	O
lórí	O
ètò-ìmúlò	O
ẹ̀rọ	O
ayélujára	O
àti	O
òmìnira	O
ọ̀rọ̀	O
sísọ	O
ní	O
orí	O
ayélujára	O
ní	O
ilẹ̀	B-LOC
Adúláwò	I-LOC
.	O
	
Lẹ́yìn	O
ọ̀pọ̀lọpọ̀	O
wákàtí	O
tí	O
a	O
fi	O
ọ̀rọ̀	O
wá	O
Wakabi	B-PER
lẹ́nu	O
wò	O
,	O
tí	O
wọn	O
kò	O
sì	O
jẹ́	O
kí	O
ó	O
rí	O
agbẹjọ́rò	O
,	O
a	O
dá	O
a	O
padà	O
sí	O
Uganda	B-LOC
.	O
	
Àwọn	O
aṣojú	O
láti	O
Àgbáríjọ	O
Olùgbèjà	O
Ẹ̀tọ́	O
Ọmọnìyàn	O
gbìyànjú	O
láti	O
jà	O
fún	O
un	O
àmọ́	O
a	O
sọ	O
fún	O
wọn	O
wípé	O
fún	O
""""""""""	O
àǹfààní	O
""""""""""	O
ìlú	O
ni	O
a	O
fi	O
dá	O
Wakabi	B-PER
padà	O
sí	O
ìlúu	O
rẹ̀	O
:	O
	
Bí	O
ó	O
ti	O
lẹ̀	O
jẹ́	O
pé	O
ìṣẹ̀lẹ̀	O
náà	O
kò	O
ju	O
wákàtí	O
díẹ̀	O
lọ	O
ó	O
mú	O
ìjáyà	O
ńlá	O
bá	O
àwọn	O
ajàfẹ́tọ̀ọ́	O
ní	O
agbègbè	O
náà	O
,	O
tí	O
ọ̀ràn	O
ìwà	O
àìtọ́	O
tí	O
orílẹ̀-èdèe	O
Tanzania	B-LOC
ń	O
wù	O
sí	O
àwọn	O
ajìjàgbara	O
àti	O
oníṣẹ́-ìròyìn	O
ń	O
peléke	O
sí	O
i	O
.	O
	
Nínú	O
oṣù	B-DATE
Belu	I-DATE
ọdún	O
tí	O
ó	O
ré	O
kọjá	O
,	O
àwọn	O
òṣìṣẹ́	O
Ìgbìmọ̀	O
tí	O
ó	O
ń	O
Dáàbò	O
bo	O
Oníṣẹ́-ìròyìn	O
,	O
Angela	B-PER
Quintal	I-PER
àti	O
Muthoki	B-PER
Mumo	I-PER
di	O
ẹni	O
àtìmọ́lé	O
fún	O
ọ̀pọ̀	O
wákàtí	O
ní	O
Dar	B-LOC
es	I-LOC
Salaam	I-LOC
,	O
Tanzania	B-LOC
,	O
tí	O
ìwé	O
ẹ̀rí	O
ọmọ-ìlú-fún-ìrìnnàa	O
wọ́n	O
di	O
gbígbà	O
lọ́wọ́ọ	O
wọn	O
.	O
	
Human	B-ORG
Rights	I-ORG
Watch	I-ORG
sọ	O
wípé	O
lábẹ́	O
ìṣàkóso	O
ìjọba	O
Ààrẹ	O
John	B-PER
Magufuli	I-PER
Tanzania	B-LOC
ti	O
rí	O
""""""""""	O
ìrésílẹ̀	O
ìbọ̀wọ̀	O
fún	O
òmìnira	O
ọ̀rọ̀	O
sísọ	O
,	O
ìkẹ́gbẹ́	O
àti	O
àpéjọ	O
dé	O
ojú	O
àmì	O
""""""""""	O
.	O
	
Ní	O
ọdún-un	B-DATE
2015	I-DATE
,	O
Orílẹ̀èdè	O
Olómìnira	O
Ìṣọ̀kan	O
Tanzania	B-LOC
kéde	O
Ìgbésẹ̀	O
Ìrúfin	O
Orí	O
Ẹ̀rọ	O
Ayélujára	O
.	O
	
Ní	O
àárín	B-DATE
ọdún	I-DATE
kan	I-DATE
tí	O
a	O
kéde	O
òfin	O
yẹn	O
,	O
ó	O
ti	O
tó	O
bí	O
ọmọ	O
orílẹ̀	O
èdèe	O
Tanzania	B-LOC
14	O
tí	O
òfín	O
ti	O
mú	O
tí	O
a	O
sì	O
ti	O
dálẹ́jọ́	O
lábẹ́	O
òfin	O
fún	O
pé	O
wọ́n	O
sọ̀rọ̀	O
mọ́ṣààsí	O
sí	O
ààrẹ	O
lórí	O
ẹ̀rọ	O
alátagbà	O
.	O
	
Pẹ́pẹ́yẹ	O
gbé	O
ọmọ	O
pọ̀n	O
nínú	O
oṣù	B-DATE
Ẹrẹ́nà	I-DATE
ọdún-un	I-DATE
2018	I-DATE
nígbàtí	O
a	O
gba	O
Ìlànà	O
Ẹ̀rọ	O
Ayárabíàṣá	O
(	O
(Ohun	O
orí	O
ayélujára	O
)	O
àti	O
Ìtàkùrọ̀sọ	O
Ìfìwéránṣẹ́	O
wọlé	O
tí	O
ó	O
mú	O
un	O
ní	O
túláàsì	O
fún	O
àwọn	O
akọbúlọ́ọ̀gù	O
láti	O
fi	O
orúkọ	O
sílẹ̀	O
tí	O
wọ́n	O
á	O
sì	O
san	O
owó	O
orí	O
tí	O
ó	O
tó	O
bíi	O
US	B-LOC
$900	O
lọ́dún	O
kí	O
wọn	O
ó	O
tó	O
lè	O
gbé	O
àtẹ̀jáde	O
sí	O
orí	O
ayélujára	O
.	O
	
Èyí	O
mú	O
kí	O
ọ̀pọ̀lọpọ̀	O
búlọ́ọ̀gù	O
aládàádúró	O
ó	O
wọ	O
òkùnkùn	O
.	O
	
Ìpalẹ́numọ́	O
iléeṣẹ́	O
akọ̀ròyìn	O
aládàádúró	O
nípasẹ̀	O
àwọn	O
àdàlù	O
ìṣíwèé	O
fún	O
ilé	O
iṣẹ́	O
akọ̀ròyìn	O
àti	O
ìrókẹ́kẹ́	O
mọ́	O
oníṣẹ́-ìròyìn	O
ti	O
di	O
ìdẹ́rùbà	O
,	O
ìkóra-ẹni-ní-ìjánu	O
àti	O
ìbẹ̀rù	O
láti	O
sọ	O
èrò	O
ọkàn	O
ẹni	O
nípa	O
àwọn	O
olórí	O
orílẹ̀	O
èdè	O
náà	O
.	O
	
Àtìmọ́lé	O
àti	O
ìdápadà	O
Wakabi	B-PER
sí	O
Uganda	B-LOC
jẹ́	O
ìtẹ̀síwájú	O
ìdojú-ìjà-kọ	O
òmìnira	O
ọ̀rọ̀	O
tòun	O
èrò	O
ọkàn	O
ẹni	O
